Transmitter,Date,Latitude,Longitude,,Unique Transmitters
A69-1601-46065,9/15/2017,38.22503,-75.03418,,A69-9006-16095
A69-1601-46065,9/27/2017,38.3089,-75.01166,,A69-9001-16950
A69-1601-46065,10/2/2017,38.3089,-75.01166,,A69-9006-16094
A69-1601-46065,10/8/2017,38.67403887,-74.77689677,,A69-1601-46078
A69-1601-46065,10/9/2017,38.52439706,-74.66015569,,A69-1601-46065
A69-1601-46065,10/10/2017,38.68472757,-74.78523542,,A69-9006-16087
A69-1601-46065,10/14/2017,38.30366,-74.79847,,A69-9001-15435
A69-1601-46065,10/17/2017,38.3089,-75.01166,,A69-9001-15434
A69-1601-46065,10/18/2017,38.30378,-74.9271,,A69-9001-15416
A69-1601-46065,10/24/2017,38.3089,-75.01166,,A69-9004-15154
A69-1601-46065,10/25/2017,38.3362,-74.72497,,A69-1601-46066
A69-1601-46065,10/26/2017,38.36899071,-74.80819452,,A69-9006-16088
A69-1601-46065,10/27/2017,38.36897219,-74.77909906,,A69-1601-46067
A69-1601-46065,11/6/2017,36.8072,-75.7432,,A69-9006-16086
A69-1601-46065,6/12/2018,38.36888,-74.8356,,A69-9006-16085
A69-1601-46065,6/13/2018,38.73015352,-74.682643,,A69-9001-15433
A69-1601-46065,6/14/2018,38.66504129,-74.76326965,,A69-1601-46068
A69-1601-46065,6/21/2018,40.39,-73.62,,A69-9001-15436
A69-1601-46065,6/22/2018,40.41792692,-73.67151731,,A69-9001-15437
A69-1601-46065,6/23/2018,40.38352941,-73.60013529,,A69-9006-16089
A69-1601-46065,6/26/2018,40.3691,-73.5543,,
A69-1601-46065,7/16/2018,39.619983,-74.039933,,
A69-1601-46065,7/28/2018,39.46835,-74.1981,,
A69-1601-46065,8/2/2018,39.644017,-74.1518,,
A69-1601-46065,9/11/2018,38.33113789,-75.00643211,,
A69-1601-46065,9/21/2018,38.36926,-74.99747,,
A69-1601-46065,10/1/2018,38.3089,-75.01166,,
A69-1601-46065,10/6/2018,38.3089,-75.01166,,
A69-1601-46065,10/8/2018,38.36926,-74.99747,,
A69-1601-46065,10/14/2018,38.66692697,-74.73952198,,
A69-1601-46065,10/18/2018,38.34571708,-74.72503708,,
A69-1601-46065,10/19/2018,38.35464826,-74.79300435,,
A69-1601-46065,10/24/2018,36.81763226,-75.68534516,,
A69-1601-46065,12/15/2018,34.9483,-75.9143,,
A69-1601-46066,9/15/2017,38.22503,-75.03418,,
A69-1601-46066,9/29/2017,36.71755333,-75.83468,,
A69-1601-46066,10/11/2017,38.68472757,-74.78523542,,
A69-1601-46066,10/13/2017,38.62844551,-74.62609174,,
A69-1601-46066,10/14/2017,38.32663588,-74.75096235,,
A69-1601-46066,10/16/2017,38.30385,-74.72512,,
A69-1601-46066,10/17/2017,38.34852771,-74.77258521,,
A69-1601-46066,10/18/2017,38.30388,-74.83629,,
A69-1601-46067,9/15/2017,38.22503,-75.03418,,
A69-1601-46067,9/16/2017,38.3089,-75.01166,,
A69-1601-46067,9/18/2017,38.3089,-75.01166,,
A69-1601-46067,9/25/2017,38.3089,-75.01166,,
A69-1601-46067,10/1/2017,38.3089,-75.01166,,
A69-1601-46067,10/2/2017,38.3688,-74.92677,,
A69-1601-46067,10/6/2017,38.30378,-74.9271,,
A69-1601-46067,11/8/2017,36.81619,-75.75994,,
A69-1601-46068,9/16/2017,38.22503,-75.03418,,
A69-1601-46068,10/6/2017,38.36712158,-74.73487474,,
A69-1601-46068,10/8/2017,38.73016951,-74.78609271,,
A69-1601-46068,10/11/2017,38.30393,-74.63362,,
A69-1601-46068,10/20/2017,38.30378,-74.9271,,
A69-1601-46068,11/5/2017,36.86967,-75.87104,,
A69-1601-46068,6/9/2018,36.8935,-75.3995,,
A69-1601-46068,6/12/2018,36.90057778,-75.41715556,,
A69-1601-46068,6/20/2018,38.63884471,-74.74949188,,
A69-1601-46068,6/21/2018,38.30387,-74.92733333,,
A69-1601-46068,6/22/2018,38.70460654,-74.61645889,,
A69-1601-46068,8/1/2018,39.644017,-74.1518,,
A69-1601-46068,8/3/2018,39.7160368,-74.0795798,,
A69-1601-46068,10/1/2018,38.73016892,-74.82062883,,
A69-1601-46068,10/12/2018,38.68472757,-74.78523542,,
A69-1601-46068,10/13/2018,38.70974558,-74.74761207,,
A69-1601-46068,10/14/2018,38.73017201,-74.77463422,,
A69-1601-46068,10/19/2018,38.54729147,-74.67801708,,
A69-1601-46068,10/21/2018,38.3564925,-74.8923825,,
A69-1601-46078,9/15/2017,38.22503,-75.03418,,
A69-1601-46078,9/26/2017,36.98909333,-75.94405,,
A69-1601-46078,10/29/2017,36.9157,-75.2313,,
A69-1601-46078,11/2/2017,36.8971,-75.283,,
A69-1601-46078,12/29/2017,34.606889,-76.314111,,
A69-1601-46078,12/30/2017,34.60688972,-76.31411028,,
A69-1601-46078,12/31/2017,34.60689,-76.31411,,
A69-1601-46078,3/19/2018,34.22803,-76.56511,,
A69-1601-46078,4/14/2018,34.9483,-75.9143,,
A69-1601-46078,4/15/2018,34.9483,-75.9143,,
A69-9001-15416,8/21/2017,37.57768,-75.55515,,
A69-9001-15416,9/5/2017,38.3089,-75.01166,,
A69-9001-15416,9/20/2017,38.30378,-74.9271,,
A69-9001-15416,10/4/2017,38.36156889,-74.83548222,,
A69-9001-15416,10/5/2017,38.30388,-74.83629,,
A69-9001-15416,10/17/2017,38.54729147,-74.67801708,,
A69-9001-15416,10/20/2017,38.30388,-74.83629,,
A69-9001-15416,10/21/2017,38.3688,-74.92677,,
A69-9001-15416,10/24/2017,38.30378,-74.9271,,
A69-9001-15416,10/31/2017,38.35863313,-74.72512813,,
A69-9001-15416,11/1/2017,38.62067232,-74.64404226,,
A69-9001-15416,6/15/2018,36.9157,-75.2313,,
A69-9001-15416,6/16/2018,36.89712,-75.28299,,
A69-9001-15416,6/17/2018,36.9157,-75.2313,,
A69-9001-15416,6/18/2018,36.89712,-75.28299,,
A69-9001-15416,6/21/2018,36.9157,-75.2313,,
A69-9001-15416,6/29/2018,38.69847086,-74.72187475,,
A69-9001-15416,7/13/2018,40.31841579,-73.38171579,,
A69-9001-15416,10/14/2018,38.30423,-74.54158,,
A69-9001-15416,10/28/2018,36.81863438,-75.68253438,,
A69-9001-15416,11/5/2018,36.716032,-75.831168,,
A69-9001-15433,9/14/2017,38.22545,-75.03335,,
A69-9001-15433,10/11/2017,38.73017175,-74.7669506,,
A69-9001-15433,10/13/2017,38.36883,-74.7252,,
A69-9001-15433,10/18/2017,38.36888,-74.8356,,
A69-9001-15433,10/29/2017,38.30378,-74.9271,,
A69-9001-15433,10/30/2017,38.35805333,-74.79849,,
A69-9001-15433,11/1/2017,38.33598,-74.83507,,
A69-9001-15433,5/27/2018,38.30391154,-74.73638769,,
A69-9001-15433,5/29/2018,38.30405,-74.76174,,
A69-9001-15433,5/31/2018,38.35504038,-74.78023192,,
A69-9001-15433,6/2/2018,38.36893,-74.76632917,,
A69-9001-15433,6/3/2018,38.30395,-74.74343,,
A69-9001-15433,6/11/2018,38.36151677,-74.77466161,,
A69-9001-15433,6/12/2018,38.30366,-74.79847,,
A69-9001-15433,6/13/2018,38.70906445,-74.67154417,,
A69-9001-15433,6/18/2018,40.4195,-73.6773,,
A69-9001-15433,8/21/2018,38.36926,-74.99747,,
A69-9001-15433,8/22/2018,38.3089,-75.01166,,
A69-9001-15433,8/24/2018,38.3089,-75.01166,,
A69-9001-15433,9/2/2018,38.3089,-75.01166,,
A69-9001-15433,9/4/2018,38.366242,-74.9981795,,
A69-9001-15433,9/6/2018,38.3089,-75.01166,,
A69-9001-15433,10/3/2018,38.3353075,-75.00545188,,
A69-9001-15433,10/7/2018,38.36926,-74.99747,,
A69-9001-15433,10/9/2018,38.3089,-75.01166,,
A69-9001-15433,11/4/2018,36.862845,-75.550225,,
A69-9001-15434,9/15/2017,38.22503,-75.03418,,
A69-9001-15434,9/28/2017,36.70989,-75.83356,,
A69-9001-15434,10/1/2017,36.71632727,-75.82749091,,
A69-9001-15434,10/5/2017,38.32297333,-74.8139137,,
A69-9001-15434,10/6/2017,38.30388,-74.83629,,
A69-9001-15434,10/7/2017,38.36903,-74.79847,,
A69-9001-15434,10/14/2017,38.60313788,-74.62927936,,
A69-9001-15434,10/15/2017,38.5701683,-74.69584292,,
A69-9001-15434,5/31/2018,38.3361,-74.79853,,
A69-9001-15434,6/2/2018,38.30385,-74.72512,,
A69-9001-15434,6/13/2018,38.31619625,-74.75488875,,
A69-9001-15434,6/14/2018,38.73013037,-74.64815986,,
A69-9001-15434,6/15/2018,38.59168414,-74.65502404,,
A69-9001-15434,9/28/2018,38.70193025,-74.61679766,,
A69-9001-15434,10/4/2018,39.644017,-74.1518,,
A69-9001-15434,10/5/2018,39.619983,-74.039933,,
A69-9001-15434,10/13/2018,38.63884471,-74.74949188,,
A69-9001-15434,10/14/2018,38.67382628,-74.74775652,,
A69-9001-15434,10/15/2018,38.42310856,-74.80068699,,
A69-9001-15434,10/16/2018,38.32960842,-74.74634263,,
A69-9001-15434,10/17/2018,38.30388,-74.83629,,
A69-9001-15434,10/24/2018,36.8935,-75.3995,,
A69-9001-15434,11/5/2018,36.71701786,-75.82628571,,
A69-9001-15435,9/15/2017,38.22503,-75.03418,,
A69-9001-15435,10/3/2017,36.83663,-75.80417,,
A69-9001-15435,10/5/2017,36.84755,-75.82639,,
A69-9001-15435,11/2/2017,36.84822581,-75.58042258,,
A69-9001-15435,11/3/2017,36.842025,-75.5944125,,
A69-9001-15435,11/4/2017,36.86735,-75.5399,,
A69-9001-15435,5/10/2018,35.1022,-75.7155,,
A69-9001-15435,6/10/2018,36.91454,-75.35292,,
A69-9001-15435,6/15/2018,36.9157,-75.2313,,
A69-9001-15435,6/26/2018,38.3479608,-74.7911484,,
A69-9001-15435,8/8/2018,40.4195,-73.6773,,
A69-9001-15435,9/23/2018,40.24799167,-73.25121667,,
A69-9001-15435,9/29/2018,40.3465,-73.4783,,
A69-9001-15435,10/3/2018,39.76405,-74.031433,,
A69-9001-15435,10/9/2018,38.73016915,-74.80734571,,
A69-9001-15435,10/11/2018,38.68607599,-74.75418395,,
A69-9001-15435,10/12/2018,38.65300473,-74.74534185,,
A69-9001-15435,10/13/2018,38.63884471,-74.74949188,,
A69-9001-15435,10/14/2018,38.55370883,-74.68301753,,
A69-9001-15435,10/15/2018,38.60021365,-74.67160537,,
A69-9001-15435,10/16/2018,38.3280875,-74.7893325,,
A69-9001-15436,9/14/2017,38.22545,-75.03335,,
A69-9001-15436,9/22/2017,38.36903,-74.79847,,
A69-9001-15436,10/16/2017,38.70758505,-74.80301299,,
A69-9001-15436,10/17/2017,38.73015352,-74.682643,,
A69-9001-15436,10/18/2017,38.30385,-74.72512,,
A69-9001-15436,11/8/2017,36.8873,-75.4959,,
A69-9001-15436,9/27/2018,40.2653,-73.2993,,
A69-9001-15436,10/8/2018,38.69836015,-74.78549261,,
A69-9001-15436,10/10/2018,38.73011207,-74.71708972,,
A69-9001-15436,10/17/2018,38.67918182,-74.61967723,,
A69-9001-15437,9/14/2017,38.22545,-75.03335,,
A69-9001-15437,10/5/2017,38.3089,-75.01166,,
A69-9001-15437,10/6/2017,38.3089,-75.01166,,
A69-9001-15437,10/23/2017,38.3688,-74.92677,,
A69-9001-15437,10/24/2017,38.30378,-74.9271,,
A69-9001-15437,10/26/2017,38.36010192,-74.83090462,,
A69-9001-15437,10/27/2017,38.30378,-74.9271,,
A69-9001-15437,10/28/2017,38.30378,-74.9271,,
A69-9001-15437,10/30/2017,38.30388,-74.83629,,
A69-9001-15437,6/6/2018,36.89712,-75.28299,,
A69-9001-15437,6/12/2018,36.9026,-75.4222,,
A69-9001-15437,6/18/2018,36.91454,-75.35292,,
A69-9001-15437,6/24/2018,38.33598,-74.83507,,
A69-9001-15437,6/25/2018,38.368955,-74.7764425,,
A69-9001-15437,6/26/2018,38.32425905,-74.82611349,,
A69-9001-15437,6/27/2018,38.62844551,-74.62609174,,
A69-9001-15437,6/28/2018,38.6835565,-74.61912235,,
A69-9001-15437,6/29/2018,38.66228999,-74.62179667,,
A69-9001-15437,6/30/2018,38.67650188,-74.75850353,,
A69-9001-15437,7/3/2018,39.619983,-74.039933,,
A69-9001-15437,7/17/2018,38.73011898,-74.7113486,,
A69-9001-15437,7/18/2018,38.73015352,-74.682643,,
A69-9001-15437,9/11/2018,38.36926,-74.99747,,
A69-9001-15437,10/2/2018,38.30387,-74.93045455,,
A69-9001-15437,10/5/2018,38.36893,-74.7712,,
A69-9001-15437,10/6/2018,38.36903,-74.79847,,
A69-9001-15437,10/7/2018,38.33157426,-74.86876447,,
A69-9001-15437,10/8/2018,38.36903,-74.79847,,
A69-9001-15437,10/9/2018,38.35128615,-74.81849385,,
A69-9001-15437,10/11/2018,38.69650986,-74.7765247,,
A69-9001-15437,10/12/2018,38.73017355,-74.75163692,,
A69-9001-15437,10/13/2018,38.56087196,-74.68861413,,
A69-9001-15437,10/14/2018,38.57017978,-74.69588578,,
A69-9001-15437,10/15/2018,38.36913,-74.63362,,
A69-9001-16950,9/14/2016,37.201817,-75.70685,,
A69-9001-16950,9/24/2016,38.14544829,-74.9516761,,
A69-9001-16950,9/28/2016,38.396,-74.784,,
A69-9001-16950,10/8/2016,38.33608,-74.72297,,
A69-9001-16950,10/9/2016,38.219415,-74.75742071,,
A69-9001-16950,10/11/2016,38.14748,-74.93932,,
A69-9001-16950,4/17/2017,34.6183,-76.56,,
A69-9001-16950,5/23/2017,36.897123,-75.282994,,
A69-9001-16950,7/7/2017,38.62845,-74.62609,,
A69-9001-16950,7/9/2017,38.68473,-74.78524,,
A69-9001-16950,7/10/2017,38.3688,-74.92677,,
A69-9001-16950,11/4/2017,36.8348,-75.62429,,
A69-9001-16950,12/14/2017,34.2073,-76.9488,,
A69-9001-16950,12/15/2017,34.278083,-76.644306,,
A69-9001-16950,12/16/2017,34.278083,-76.644306,,
A69-9001-16950,12/18/2017,34.20600167,-76.61092396,,
A69-9001-16950,12/26/2017,34.2073,-76.9488,,
A69-9001-16950,3/14/2018,34.22803,-76.56511,,
A69-9001-16950,3/27/2018,34.14389,-76.65256,,
A69-9001-16950,3/28/2018,34.22803,-76.56511,,
A69-9001-16950,4/15/2018,34.9247,-75.9652,,
A69-9001-16950,5/5/2018,34.9483,-75.9143,,
A69-9001-16950,5/10/2018,34.8349,-76.2813,,
A69-9001-16950,5/15/2018,34.6186,-76.5627,,
A69-9001-16950,5/17/2018,34.6186,-76.5627,,
A69-9001-16950,6/9/2018,36.8339,-75.6131,,
A69-9001-16950,6/28/2018,38.36888,-74.8356,,
A69-9001-16950,6/29/2018,38.3688,-74.92677,,
A69-9001-16950,7/1/2018,38.36883,-74.7252,,
A69-9001-16950,10/13/2018,38.30387,-74.936,,
A69-9001-16950,12/26/2018,34.4489,-76.4747,,
A69-9001-16950,1/4/2019,34.14389,-76.65256,,
A69-9001-16950,1/5/2019,34.14389,-76.65256,,
A69-9001-16950,1/6/2019,34.1017,-76.1372,,
A69-9001-16950,2/6/2019,34.6206,-76.1361,,
A69-9001-16950,3/9/2019,34.9247,-75.9652,,
A69-9001-16950,3/11/2019,34.9483,-75.9143,,
A69-9001-16950,3/26/2019,34.6206,-76.1361,,
A69-9001-16950,4/7/2019,34.6206,-76.1361,,
A69-9001-16950,4/11/2019,34.9247,-75.9652,,
A69-9001-16950,4/12/2019,34.9247,-75.9652,,
A69-9001-16950,4/13/2019,34.9247,-75.9652,,
A69-9001-16950,4/14/2019,34.9247,-75.9652,,
A69-9001-16950,4/16/2019,34.94775116,-75.91548372,,
A69-9001-16950,4/27/2019,34.9247,-75.9652,,
A69-9001-16950,4/28/2019,34.9247,-75.9652,,
A69-9004-15154,9/14/2016,37.201817,-75.70685,,
A69-9004-15154,11/4/2016,36.9145,-75.3529,,
A69-9004-15154,11/18/2016,36.71626,-75.82764,,
A69-9004-15154,6/13/2017,38.36892,-74.76203,,
A69-9004-15154,6/14/2017,38.30375429,-74.81467857,,
A69-9004-15154,6/15/2017,38.54729,-74.67802,,
A69-9004-15154,6/16/2017,38.68977583,-74.61833833,,
A69-9004-15154,6/21/2017,40.2842,-73.2598,,
A69-9004-15154,6/22/2017,40.3245,-73.3202,,
A69-9004-15154,6/24/2017,40.33892917,-73.42429583,,
A69-9004-15154,11/2/2017,36.8741,-75.5253,,
A69-9004-15154,11/7/2017,36.8971,-75.283,,
A69-9004-15154,6/14/2018,36.91516462,-75.28743231,,
A69-9004-15154,6/15/2018,36.89977429,-75.27560571,,
A69-9004-15154,6/16/2018,36.91454,-75.35292,,
A69-9004-15154,11/5/2018,36.71669231,-75.82538462,,
A69-9006-16085,9/14/2017,38.22545,-75.03335,,
A69-9006-16085,9/15/2017,38.3089,-75.01166,,
A69-9006-16085,9/18/2017,38.3089,-75.01166,,
A69-9006-16085,10/8/2017,38.62726335,-74.69355802,,
A69-9006-16085,10/14/2017,38.62844551,-74.62609174,,
A69-9006-16085,10/15/2017,38.53475978,-74.65926891,,
A69-9006-16085,10/16/2017,38.43658101,-74.7407626,,
A69-9006-16085,5/30/2018,38.346055,-74.83528056,,
A69-9006-16085,5/31/2018,38.33818824,-74.81812706,,
A69-9006-16085,6/12/2018,36.8741,-75.5253,,
A69-9006-16085,6/13/2018,36.89712,-75.28299,,
A69-9006-16085,6/15/2018,36.89712,-75.28299,,
A69-9006-16085,6/20/2018,36.89712,-75.28299,,
A69-9006-16085,6/27/2018,38.30385,-74.72512,,
A69-9006-16085,6/29/2018,38.36893,-74.768995,,
A69-9006-16085,7/1/2018,38.63071818,-74.72849123,,
A69-9006-16085,10/3/2018,38.60407038,-74.69151757,,
A69-9006-16085,10/4/2018,38.70460654,-74.61645889,,
A69-9006-16085,10/5/2018,38.71352931,-74.71358646,,
A69-9006-16085,10/6/2018,38.60966892,-74.70784689,,
A69-9006-16085,10/7/2018,38.54310365,-74.67160451,,
A69-9006-16085,10/8/2018,38.66178568,-74.76730098,,
A69-9006-16085,10/9/2018,38.61407058,-74.73010987,,
A69-9006-16085,10/10/2018,38.64769454,-74.75631172,,
A69-9006-16085,10/12/2018,38.63884471,-74.74949188,,
A69-9006-16085,10/14/2018,38.3688,-74.92677,,
A69-9006-16085,10/16/2018,38.30387,-74.92766667,,
A69-9006-16085,10/25/2018,36.8606,-75.5545,,
A69-9006-16086,9/15/2017,38.22503,-75.03418,,
A69-9006-16086,9/16/2017,38.3089,-75.01166,,
A69-9006-16086,9/21/2017,38.3089,-75.01166,,
A69-9006-16086,9/22/2017,38.3089,-75.01166,,
A69-9006-16086,10/17/2017,38.3688,-74.92677,,
A69-9006-16086,10/19/2017,38.70696002,-74.76452591,,
A69-9006-16086,10/29/2017,38.34694667,-74.83524667,,
A69-9006-16086,11/4/2017,36.8741,-75.5253,,
A69-9006-16086,11/6/2017,36.8339,-75.6131,,
A69-9006-16087,9/14/2017,38.22545,-75.03335,,
A69-9006-16087,10/8/2017,38.3089,-75.01166,,
A69-9006-16087,5/21/2018,36.90757125,-75.25391438,,
A69-9006-16087,5/22/2018,36.91454,-75.35292,,
A69-9006-16087,5/26/2018,38.30385,-74.72512,,
A69-9006-16087,5/29/2018,38.73011207,-74.71708972,,
A69-9006-16087,6/1/2018,38.62844551,-74.62609174,,
A69-9006-16087,6/2/2018,38.58979926,-74.71115293,,
A69-9006-16087,6/9/2018,38.34599304,-74.8352313,,
A69-9006-16087,6/10/2018,38.69552834,-74.62133189,,
A69-9006-16087,6/12/2018,38.65750677,-74.69699536,,
A69-9006-16087,7/31/2018,39.46835,-74.1981,,
A69-9006-16087,8/1/2018,39.522,-74.257317,,
A69-9006-16087,8/3/2018,39.644017,-74.1518,,
A69-9006-16087,8/4/2018,39.619983,-74.039933,,
A69-9006-16087,8/5/2018,39.46835,-74.1981,,
A69-9006-16087,9/13/2018,38.3089,-75.01166,,
A69-9006-16087,9/15/2018,38.36926,-74.99747,,
A69-9006-16087,9/30/2018,38.36926,-74.99747,,
A69-9006-16087,10/1/2018,38.3089,-75.01166,,
A69-9006-16087,10/2/2018,38.36926,-74.99747,,
A69-9006-16087,10/13/2018,38.30387,-74.93021951,,
A69-9006-16087,10/14/2018,38.3688,-74.92677,,
A69-9006-16087,10/15/2018,38.30773923,-74.9942,,
A69-9006-16087,10/16/2018,38.36888,-74.8356,,
A69-9006-16087,10/17/2018,38.30393,-74.63362,,
A69-9006-16087,10/18/2018,38.36888,-74.8356,,
A69-9006-16087,10/19/2018,38.30470106,-74.72750118,,
A69-9006-16087,11/30/2018,35.1128,-75.6554,,
A69-9006-16087,12/13/2018,34.9483,-75.9143,,
A69-9006-16087,12/15/2018,34.9483,-75.9143,,
A69-9006-16087,12/17/2018,35.1128,-75.6554,,
A69-9006-16087,5/20/2019,36.89583333,-75.39432222,,
A69-9006-16087,9/1/2019,39.522,-74.257317,,
A69-9006-16088,9/14/2017,38.22545,-75.03335,,
A69-9006-16088,9/28/2017,36.90341,-75.88336667,,
A69-9006-16088,10/12/2017,38.36892,-74.76203,,
A69-9006-16088,6/2/2018,36.9157,-75.2313,,
A69-9006-16088,6/16/2018,36.89712,-75.28299,,
A69-9006-16088,6/18/2018,36.89712,-75.28299,,
A69-9006-16088,6/23/2018,38.33727886,-74.79847,,
A69-9006-16088,6/24/2018,38.33471947,-74.75252,,
A69-9006-16088,6/30/2018,38.3362,-74.72497,,
A69-9006-16088,10/23/2018,38.36888,-74.8356,,
A69-9006-16088,10/24/2018,38.70758505,-74.80301299,,
A69-9006-16088,10/25/2018,38.30388,-74.83629,,
A69-9006-16088,11/3/2018,36.81619,-75.75994,,
A69-9006-16088,11/5/2018,36.8072,-75.7432,,
A69-9006-16088,11/6/2018,36.8741,-75.5253,,
A69-9006-16089,9/14/2017,38.22545,-75.03335,,
A69-9006-16089,9/15/2017,38.3089,-75.01166,,
A69-9006-16089,9/23/2017,38.3089,-75.01166,,
A69-9006-16094,8/21/2017,37.57768,-75.55515,,
A69-9006-16094,8/30/2017,36.93991,-75.87328,,
A69-9006-16094,9/24/2017,38.36883,-74.7252,,
A69-9006-16094,11/8/2017,36.8196,-75.6777,,
A69-9006-16094,1/26/2018,34.52814,-76.24169,,
A69-9006-16094,2/4/2018,34.60689,-76.31411,,
A69-9006-16094,3/5/2018,34.22803,-76.56511,,
A69-9006-16094,3/6/2018,34.22803,-76.56511,,
A69-9006-16094,3/23/2018,34.60689,-76.31411,,
A69-9006-16094,3/29/2018,34.18697,-76.60211,,
A69-9006-16094,4/13/2018,34.5987,-76.6869,,
A69-9006-16094,7/26/2018,38.30479273,-74.86817545,,
A69-9006-16094,8/23/2018,38.3089,-75.01166,,
A69-9006-16094,10/16/2018,38.30393,-74.63362,,
A69-9006-16094,10/18/2018,38.30393,-74.63362,,
A69-9006-16094,11/6/2018,36.8254,-75.6448,,
A69-9006-16094,11/8/2018,36.8339,-75.6131,,
A69-9006-16094,1/3/2019,34.4544,-76.5611,,
A69-9006-16094,1/9/2019,34.8349,-76.2813,,
A69-9006-16094,1/29/2019,34.1017,-76.1372,,
A69-9006-16094,2/27/2019,34.4544,-76.5611,,
A69-9006-16094,3/1/2019,34.559,-76.4365,,
A69-9006-16094,3/14/2019,34.22803,-76.56511,,
A69-9006-16094,3/17/2019,34.60689,-76.31411,,
A69-9006-16094,4/8/2019,34.6149,-76.6833,,
A69-9006-16094,4/10/2019,34.49,-76.43,,
A69-9006-16094,4/22/2019,34.60689,-76.31411,,
A69-9006-16094,4/24/2019,34.60689,-76.31411,,
A69-9006-16094,4/25/2019,34.559,-76.4365,,
A69-9006-16094,5/4/2019,34.8349,-76.2813,,
A69-9006-16095,8/21/2017,37.57768,-75.55515,,
A69-9006-16095,9/28/2017,36.8135,-75.7014,,
A69-9006-16095,11/4/2017,36.9157,-75.2313,,
A69-9006-16095,11/30/2017,34.2210915,-76.514103,,
A69-9006-16095,12/2/2017,34.2210915,-76.514103,,
A69-9006-16095,12/4/2017,34.1152445,-76.522178,,
A69-9006-16095,12/5/2017,34.2210915,-76.514103,,
A69-9006-16095,12/15/2017,34.2280278,-76.5651111,,
A69-9006-16095,12/16/2017,34.2280278,-76.5651111,,
A69-9006-16095,12/17/2017,34.2280278,-76.5651111,,
A69-9006-16095,12/26/2017,33.9941,-77.3524,,
A69-9006-16095,4/30/2018,34.6315,-76.6794,,
A69-9006-16095,5/1/2018,34.6315,-76.6794,,
A69-9006-16095,5/2/2018,34.49,-76.43,,
A69-9006-16095,5/14/2018,34.6186,-76.5627,,
A69-9006-16095,5/15/2018,34.6186,-76.5627,,
A69-9006-16095,5/24/2018,35.1022,-75.7155,,
A69-9006-16095,10/10/2018,38.369,-74.54183,,
A69-9006-16095,10/11/2018,38.30423,-74.54158,,
A69-9006-16095,11/15/2018,34.9247,-75.9652,,
A69-9006-16095,12/26/2018,33.35604,-78.42548,,
A69-9006-16095,4/13/2019,34.5803,-76.6924,,
